name,rating
Cormac McCarthy,Excellent
Hilary Mantel,Intermediate
Diana Wynne Jones,Excellent
"Stephen King, William Olivier Desmond",Intermediate
Henry David Thoreau,Intermediate
Kazuo Ishiguro,Excellent
Julian Barnes,Intermediate
Sue Grafton,Intermediate
"Sophocles, J.E. Thomas",Intermediate
Lisa See,Intermediate
"Kenneth Grahame, Gillian Avery",Intermediate
Jenny Han,Excellent
"Marjane Satrapi, Mattias Ripa",Excellent
E.M. Forster,Intermediate
Kody Keplinger,Intermediate
Sarah Dessen,Excellent
J.D. Robb,Excellent
Stephenie Meyer,Excellent
"Masashi Kishimoto, Katy Bridges",Excellent
Rachel Joyce,Intermediate
David Levithan,Intermediate
"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",Intermediate
James Clavell,Excellent
J.R. Ward,Famous
Sarah J. Maas,Excellent
E.L. James,Excellent
"Bill Martin Jr., John Archambault, Lois Ehlert",Excellent
Raina Telgemeier,Excellent
"George Orwell, Christopher Hitchens",Excellent
Jacquelyn Mitchard,Intermediate
Amy Tan,Intermediate
Louise Rennison,Intermediate
Robin Sloan,Intermediate
V.C. Andrews,Intermediate
"Paul Kalanithi, Abraham Verghese",Excellent
Jerry Spinelli,Intermediate
Chuck Palahniuk,Intermediate
Lois Lowry,Intermediate
Ellen Raskin,Excellent
Pierce Brown,Excellent
Brent Weeks,Excellent
Barbara Kingsolver,Intermediate
Jamie McGuire,Excellent
"Sam McBratney, Anita Jeram",Excellent
Diana Gabaldon,Excellent
"Stephen King, John D. MacDonald",Intermediate
Peter Benchley,Intermediate
Nicole Krauss,Intermediate
"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Excellent
"Muriel Barbery, Alison Anderson",Intermediate
"Doris Kearns Goodwin, Suzanne Toren",Excellent
"Albert Camus, Stuart Gilbert",Intermediate
"Lemony Snicket, Brett Helquist",Intermediate
Susannah Cahalan,Intermediate
Melissa Marr,Intermediate
H.A. Rey,Excellent
"Michael Ende, Ralph Manheim, Roswitha Quadflieg",Excellent
Sylvia Nasar,Excellent
"Upton Sinclair, Earl Lee, Kathleen DeGrave",Intermediate
Kelley Armstrong,Excellent
Oliver Sacks,Excellent
Ken Follett,Excellent
Ransom Riggs,Excellent
Andre Dubus III,Intermediate
M.R. Carey,Intermediate
Crockett Johnson,Excellent
J.R. Ward,Excellent
Isaac Asimov,Excellent
Jim Butcher,Excellent
Malcolm Gladwell,Intermediate
"Hiromu Arakawa, Akira Watanabe",Famous
Terry Pratchett,Excellent
Joan Didion,Intermediate
Lionel Shriver,Excellent
Arthur C. Clarke,Excellent
"Edith Wharton, Maureen Howard",Intermediate
Richard Dawkins,Excellent
Geraldine Brooks,Intermediate
Michael Connelly,Excellent
Ayn Rand,Intermediate
Sylvain Reynard,Excellent
"Judi Barrett, Ron Barrett",Excellent
Helen Simonson,Intermediate
Nora Roberts,Excellent
Jodi Picoult,Novice
Rick Riordan,Excellent
John Scalzi,Excellent
Stephen King,Famous
Janet Evanovich,Excellent
"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",Excellent
Joe Haldeman,Excellent
"Stephen King, Bettina Blanch Tyroller",Intermediate
Azar Nafisi,Intermediate
Joe Abercrombie,Excellent
Eoin Colfer,Intermediate
Annie Proulx,Intermediate
"Marie KondÅ, Cathy Hirano",Intermediate
"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",Excellent
Kathy Reichs,Intermediate
Michael Scott,Intermediate
Jeffrey Eugenides,Novice
"Isabel Allende, Margaret Sayers Peden",Intermediate
Jessica Knoll,Novice
Ellen Hopkins,Excellent
Maggie Stiefvater,Excellent
Richard Matheson,Intermediate
Elizabeth Strout,Intermediate
"Lena Dunham, Joana Avillez",Novice
James C. Collins,Excellent
Kristin Cashore,Excellent
Samuel Beckett,Intermediate
Jack London,Intermediate
"Stephen King, Bernie Wrightson",Excellent
Philip Pullman,Excellent
J.A. Redmerski,Excellent
Kimberly McCreight,Intermediate
Michael Cunningham,Intermediate
Alice Clayton,Excellent
James Dashner,Intermediate
Susan Ee,Excellent
Richard Russo,Intermediate
Robert Jordan,Excellent
Jandy Nelson,Excellent
Stephen King,Excellent
Catherine Hardwicke,Excellent
Richard Feynman,Excellent
Maggie Stiefvater,Intermediate
L.M. Montgomery,Famous
"James Joyce, Seamus Deane",Intermediate
"Robert Jordan, Brandon Sanderson",Excellent
"George Eliot, Michel Faber",Intermediate
Colleen Hoover,Excellent
J.R.R. Tolkien,Famous
S.C. Stephens,Excellent
Scott Turow,Excellent
Stacy Schiff,Intermediate
Thomas L. Friedman,Intermediate
Brandon Sanderson,Excellent
"Marcus Pfister, J. Alison James",Excellent
Jules Verne,Intermediate
Gretchen Rubin,Intermediate
Philip K. Dick,Intermediate
"Vincent Bugliosi, Curt Gentry",Intermediate
"Robert Kapilow, Dr. Seuss",Famous
"Dante Alighieri, Anthony M. Esolen",Intermediate
Deborah Harkness,Excellent
Patricia Briggs,Excellent
Melissa de la Cruz,Intermediate
Caleb Carr,Excellent
Ta-Nehisi Coates,Famous
"John Milton, John      Leonard",Intermediate
Michael   Lewis,Excellent
"Patrick Ness, Jim Kay, Siobhan Dowd",Excellent
"Robert Jordan, Brandon Sanderson",Famous
Frederick Forsyth,Excellent
"Jason Fried, David Heinemeier Hansson",Intermediate
"Stephenie Meyer, Ilyana Kadushin, Matt Walters",Intermediate
Carol Rifka Brunt,Excellent
James Herriot,Excellent
Michelle Hodkin,Excellent
Emmuska Orczy,Excellent
"Jon Stone, Michael J. Smollin",Famous
Judy Blume,Excellent
Leigh Bardugo,Excellent
"Herman Koch, Sam Garrett",Novice
Marie Lu,Excellent
Carl Sagan,Excellent
Stephanie Perkins,Intermediate
Zadie Smith,Intermediate
"Chris Kyle, Scott McEwen, Jim DeFelice",Intermediate
Pittacus Lore,Excellent
Meg Wolitzer,Intermediate
Bill Watterson,Famous
Kate Morton,Excellent
Better Homes and Gardens,Excellent
Douglas Adams,Excellent
"Hermann Hesse, Basil Creighton",Excellent
Tess Gerritsen,Excellent
Robin Hobb,Excellent
"Kate DiCamillo, Timothy Basil Ering",Intermediate
"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",Excellent
Alan Bradley,Intermediate
Donald Miller,Intermediate
Diana Gabaldon,Famous
Liane Moriarty,Intermediate
"Brian K. Vaughan, Fiona Staples",Excellent
Chad Harbach,Intermediate
Ernest Hemingway,Excellent
Brandon Mull,Excellent
Walter Isaacson,Excellent
Mildred D. Taylor,Intermediate
"Seth Grahame-Smith, Jane Austen",Novice
"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",Excellent
Jeff Kinney,Excellent
Mindy Kaling,Intermediate
Veronica Roth,Excellent
"Aziz Ansari, Eric Klinenberg",Intermediate
"Katherine Applegate, Patricia Castelao",Excellent
Sebastian Junger,Excellent
Patrick Ness,Intermediate
Jim Fergus,Intermediate
"Stephen King, Darrel Anderson",Intermediate
Salman Rushdie,Intermediate
Max Brooks,Intermediate
Agatha Christie,Excellent
Margaret Peterson Haddix,Intermediate
Michael Pollan,Excellent
Elizabeth George Speare,Intermediate
Kiera Cass,Intermediate
"Wilkie Collins, Matthew Sweet",Intermediate
"Robert Galbraith, J.K. Rowling",Excellent
Jenny Han,Intermediate
James McBride,Excellent
"Steven D. Levitt, Stephen J. Dubner",Intermediate
Karen Marie Moning,Excellent
Terry Goodkind,Excellent
"William Makepeace Thackeray, John Carey",Intermediate
Kurt Vonnegut Jr.,Excellent
"Stephen King, Dominique Dill",Intermediate
Cynthia D'Aprix Sweeney,Novice
"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",Intermediate
David    Allen,Intermediate
James Redfield,Intermediate
Huntley Fitzpatrick,Excellent
"Haruki Murakami, Philip Gabriel",Intermediate
Alice Sebold,Intermediate
Virginia Woolf,Intermediate
Chetan Bhagat,Novice
Laurell K. Hamilton,Excellent
Markus Zusak,Excellent
"Thomas Hardy, Rosemarie Morgan, Shannon Russell",Intermediate
Mark Z. Danielewski,Excellent
Patricia Cornwell,Excellent
"P.C. Cast, Kristin Cast",Excellent
Willa Cather,Intermediate
Susan Beth Pfeffer,Intermediate
"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",Excellent
"Don Piper, Cecil Murphey",Intermediate
Nicholas Sparks,Excellent
"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Excellent
Jeffrey Archer,Excellent
Augusten Burroughs,Excellent
James Patterson,Excellent
E.L. James,Intermediate
Frank Herbert,Intermediate
C.S. Lewis,Excellent
Jennifer Weiner,Intermediate
"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",Excellent
Mark Cotta Vaz,Excellent
Jane Green,Novice
L.M. Montgomery,Excellent
"Friedrich Nietzsche, Walter Kaufmann",Excellent
"Elizabeth Gaskell, Alan Shelston",Excellent
Jaycee Dugard,Intermediate
Amish Tripathi,Intermediate
Lauren Oliver,Intermediate
"Aesop, Laura Harris, Laura Gibbs",Excellent
Becca Fitzpatrick,Excellent
Chetan Bhagat,Intermediate
"Matsuri Hino, Tomo Kimura",Excellent
"Anne McCaffrey, Teodor PanasiÅ„ski",Excellent
"John D. Rateliff, J.R.R. Tolkien",Intermediate
Joanne Harris,Intermediate
Jay Anson,Intermediate
Michael Ondaatje,Intermediate
"James Joyce, Jeri Johnson",Intermediate
Colum McCann,Intermediate
Eoin Colfer,Excellent
Harlan Coben,Excellent
Rachel Hawkins,Intermediate
Austin Kleon,Intermediate
Neal Stephenson,Excellent
Christina Lauren,Excellent
Joyce Carol Oates,Intermediate
Scott McCloud,Intermediate
"Kami Garcia, Margaret Stohl",Intermediate
Jon Ronson,Intermediate
David Baldacci,Excellent
Christopher Moore,Excellent
Jonathan Stroud,Intermediate
"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",Intermediate
"Kenneth H. Blanchard, Spencer Johnson",Intermediate
Leon Uris,Excellent
Ursula Hegi,Excellent
Raymond Chandler,Excellent
John Steinbeck,Excellent
Ellen DeGeneres,Intermediate
Eowyn Ivey,Intermediate
"J. Lynn, Jennifer L. Armentrout",Excellent
"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",Excellent
"Benjamin Hoff, Ernest H. Shepard",Excellent
Jennifer L. Armentrout,Excellent
Tahereh Mafi,Excellent
Sarah Dunant,Intermediate
"David Lagercrantz, Stieg Larsson, George Goulding",Intermediate
Emma Cline,Novice
Shannon Hale,Excellent
Dennis Lehane,Excellent
Isaac Marion,Intermediate
"Mark Twain, Everett H. Emerson",Intermediate
Robert A. Heinlein,Excellent
"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´",Excellent
"Hajime Isayama, Sheldon Drzka",Famous
F. Scott Fitzgerald,Intermediate
Olive Ann Burns,Intermediate
Tennessee Williams,Intermediate
"Elena Ferrante, Ann Goldstein",Intermediate
Timothy Ferriss,Intermediate
Robin S. Sharma,Intermediate
Amor Towles,Intermediate
Larry Niven,Intermediate
Ruta Sepetys,Excellent
"Andrew Clements, Brian Selznick",Intermediate
Louise Erdrich,Intermediate
Madeleine L'Engle,Excellent
Hanya Yanagihara,Excellent
"Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",Excellent
"Anne Tyler, Jennifer Bassett",Intermediate
Benjamin Alire SÃ¡enz,Excellent
H.G. Wells,Intermediate
"Haruki Murakami, Alfred Birnbaum",Excellent
"Paulo Coelho, Alan R. Clarke",Intermediate
"Johann David Wyss, Scott McKowen, Arthur Pober",Intermediate
Jennifer Probst,Intermediate
"Watty Piper, Doris Hauman, George Hauman",Excellent
Karen Joy Fowler,Intermediate
James Joyce,Intermediate
Alan Brennert,Excellent
Anne Rice,Excellent
Frank E. Peretti,Excellent
Jessica Sorensen,Excellent
Lauren Groff,Intermediate
"E.B. White, Garth Williams",Intermediate
Brian Greene,Excellent
Janell Cannon,Excellent
Nancy Horan,Intermediate
"Janet Evanovich, Lorelei King",Excellent
Flora Rheta Schreiber,Intermediate
Rosamunde Pilcher,Excellent
Dave Eggers,Excellent
"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",Intermediate
"Ronald Holt, Arthur Conan Doyle",Excellent
"Bill O'Reilly, Martin Dugard",Excellent
John Flanagan,Excellent
Laurie Halse Anderson,Intermediate
Ira Levin,Intermediate
"Stephen King, Peter Straub",Excellent
Jack Kerouac,Intermediate
Katherine Boo,Intermediate
"P.L. Travers, Mary Shepard",Excellent
Scott Lynch,Excellent
Sandra Cisneros,Intermediate
David Benioff,Excellent
Jeaniene Frost,Excellent
"Roald Dahl, Quentin Blake",Intermediate
Garth Nix,Excellent
"James Patterson, Peter de Jonge",Intermediate
James S.A. Corey,Excellent
Art Spiegelman,Famous
Ezra Jack Keats,Excellent
Richard   Preston,Excellent
Elizabeth Gilbert,Intermediate
Lynne Truss,Intermediate
Kim Harrison,Excellent
"Clement C. Moore, Jan Brett",Excellent
Cynthia Hand,Excellent
Lee Strobel,Excellent
Carl Hiaasen,Intermediate
"Virgil, Robert Fitzgerald",Intermediate
Junot DÃ­az,Intermediate
"Haruki Murakami, Jay Rubin",Intermediate
Daniel Quinn,Intermediate
Katie McGarry,Excellent
"Kennilworthy Whisp, J.K. Rowling",Intermediate
"Harry Allard, James  Marshall",Excellent
"Richard Bachman, Stephen King",Excellent
"Lemony Snicket, Brett Helquist",Excellent
"Stephen King, Jerry N. Uelsmann",Excellent
"Trenton Lee Stewart, Carson Ellis",Excellent
Christopher Hitchens,Intermediate
Jennifer E. Smith,Intermediate
Jonathan Stroud,Excellent
Tom Robbins,Excellent
Jenna Blum,Excellent
Beth Revis,Intermediate
M. Scott Peck,Excellent
"Gertrude Chandler Warner, L. Kate Deal",Excellent
A.S.A. Harrison,Novice
Caitlin Moran,Intermediate
Keith Richards,Intermediate
Jhumpa Lahiri,Excellent
Anita Shreve,Intermediate
Don DeLillo,Intermediate
Stephen E. Ambrose,Famous
Charles Darwin,Intermediate
Craig Thompson,Excellent
David Wroblewski,Intermediate
Christina Schwarz,Intermediate
Charles Bukowski,Excellent
Cormac McCarthy,Intermediate
"Arthur Conan Doyle, Kyle Freeman",Famous
"EiichirÅ Oda, Andy Nakatani",Famous
Peter S. Beagle,Excellent
Angie Sage,Intermediate
Tana French,Excellent
Erik Larson,Excellent
Rudyard Kipling,Intermediate
Terry Hayes,Excellent
"Allen Ginsberg, William Carlos Williams",Excellent
Richard Carlson,Intermediate
"Adam Mansbach, Ricardo CortÃ©s",Excellent
Walter Isaacson,Intermediate
TÃ©a Obreht,Novice
Maria V. Snyder,Excellent
"Anonymous, Joseph Smith Jr.",Excellent
Jim Butcher,Famous
Pierce Brown,Famous
Terry Pratchett,Famous
Karin Slaughter,Intermediate
Dr. Seuss,Excellent
"Yana Toboso, Tomo Kimura",Excellent
"Robert Louis Stevenson, Robert Mighall",Intermediate
Emily Seife,Famous
Peter V. Brett,Excellent
John Bunyan,Intermediate
Lee Child,Excellent
"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",Excellent
Carson McCullers,Intermediate
Rick Yancey,Intermediate
T.H. White,Excellent
Christopher Paul Curtis,Intermediate
Alison Bechdel,Excellent
Dan Ariely,Excellent
Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯,Intermediate
Lynne Reid Banks,Intermediate
Jesse Andrews,Intermediate
Simon Winchester,Intermediate
"James Patterson, Andrew Gross",Excellent
Jasper Fforde,Intermediate
"Faye Perozich, Anne Rice, John Bolton, Daerick GrÃ¶ss",Excellent
"Louis Sachar, Adam McCauley",Excellent
"Dalai Lama XIV, Howard C. Cutler",Excellent
David Mitchell,Intermediate
Anna Quindlen,Intermediate
"L.J. Smith, Kevin Williamson, Julie Plec",Excellent
"Cornelia Funke, Anthea Bell",Intermediate
Chuck Klosterman,Intermediate
Evelyn Waugh,Intermediate
Jessie Burton,Intermediate
"Margaret Weis, Tracy Hickman",Excellent
Julia Cameron,Intermediate
"Jon Scieszka, Lane Smith",Excellent
Joe Hill,Intermediate
Robert K. Massie,Intermediate
Margaret Atwood,Excellent
Kristin Hannah,Excellent
"Marcus Luttrell, Patrick Robinson",Excellent
Richard Wright,Intermediate
Veronica Rossi,Excellent
Eric Ries,Excellent
Richelle Mead,Excellent
Lauren Weisberger,Novice
David Eddings,Excellent
"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",Famous
William L. Shirer,Excellent
Nick Hornby,Novice
"Jeff Smith, Steve Hamaker",Excellent
Lee Child,Intermediate
"Kami Garcia, Margaret Stohl, Paz Pruneda",Intermediate
Brian Jacques,Excellent
"Karl Marx, Friedrich Engels, Gareth Stedman Jones",Intermediate
Ruth Ware,Intermediate
James Fenimore Cooper,Intermediate
William Styron,Excellent
Julie Kagawa,Excellent
Bruce H. Wilkinson,Intermediate
Karen Thompson Walker,Intermediate
Mitch Albom,Excellent
"Julia Child, Alex Prud'Homme",Excellent
Graeme Simsion,Intermediate
Wendelin Van Draanen,Intermediate
"Travis Bradberry, Jean Greaves, Patrick Lencioni",Intermediate
Robert McCloskey,Excellent
"Douglas Preston, Lincoln Child",Excellent
Bill Bryson,Intermediate
Robert Kirkman,Famous
"Nicola Yoon, David Yoon",Excellent
George Bernard Shaw,Intermediate
Helen Fielding,Intermediate
Louis de BerniÃ¨res,Intermediate
Bill Bryson,Excellent
Arthur Conan Doyle,Excellent
Adam Johnson,Excellent
"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",Excellent
Chaim Potok,Excellent
"Irving Stone, ×©×ž×•××œ ×©× ×™×¦×¨",Excellent
"Carlos Ruiz ZafÃ³n, Lucia Graves",Intermediate
Cecelia Ahern,Intermediate
"Peggy Parish, Fritz Siebel",Excellent
Jodi Ellen Malpas,Excellent
W. Bruce Cameron,Excellent
Sabaa Tahir,Excellent
Helene Wecker,Excellent
"Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ, Ahlam Mosteghanemi",Intermediate
"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",Intermediate
Esphyr Slobodkina,Excellent
Tamora Pierce,Excellent
Audrey Niffenegger,Novice
Anita Diamant,Intermediate
Dan Simmons,Excellent
James Ellroy,Intermediate
"Lewis Carroll, John Tenniel, Peter Glassman",Excellent
Jung Chang,Excellent
P.D. Eastman,Excellent
"Laura Ingalls Wilder, Garth Williams",Excellent
