csv_index,title,publishing_year,genre_id,publisher_id,author_id,language_id,average_rating,ratings_count,sale_price,gross_sales,publisher_revenue,sales_rank,units_sold
215,The Lies of Locke Lamora,2006,1,6,180,2,4.3,118751,2.99,1324.57,794.742,234,443
216,Sabriel,1995,1,5,181,1,4.17,137047,19.98,8811.18,5286.708,235,441
217,Dead and Gone,2009,1,5,27,2,4.01,145157,4.99,2175.64,1305.384,238,436
218,The Storyteller,2013,1,2,79,2,4.26,109313,0.99,430.65,0.0,239,435
219,Obsidian,2011,1,4,182,2,4.23,164832,11.99,5191.67,3115.002,240,433
220,"Life, the Universe and Everything",1982,1,3,66,2,4.19,131562,5.99,2593.67,1556.202,240,433
221,Crown of Midnight,2013,1,2,183,7,4.49,160485,0.99,426.69,256.014,241,431
222,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",2004,1,5,184,2,4.18,126864,0.99,425.7,255.42,242,430
223,Half Broke Horses: A True Life Novel,2008,1,4,185,2,4.05,110597,11.99,5107.74,3064.644,244,426
224,Mort,1987,1,2,186,2,4.22,128450,8.97,3821.22,2292.732,244,426
225,"The Iron King (The Iron Fey, #1)",2010,1,7,187,2,3.92,158063,0.99,420.75,252.45,245,425
226,Lonesome Dove,1985,1,2,188,1,4.47,111498,3.99,1687.77,0.0,246,423
227,Stiff: The Curious Lives of Human Cadavers,2003,3,5,189,2,4.05,122502,10.65,4473.0,2683.8,248,420
228,Bloodlines,2011,1,7,190,1,4.22,140599,0.99,413.82,248.292,249,418
229,Ender's Shadow,1998,3,2,191,2,4.3,115521,0.99,411.84,0.0,250,416
230,Twenties Girl,2009,1,5,93,2,3.82,119105,4.99,2070.85,1242.51,251,415
231,Schindler's Ark,1982,1,2,192,2,4.34,108338,6.19,2537.9,1522.74,254,410
232,The Bluest Eye,1970,1,2,193,2,3.99,109944,2.99,1219.92,0.0,255,408
233,The White Queen,2009,1,2,142,2,3.9,119739,4.13,1685.04,1011.024,255,408
234,The Autobiography of Malcolm X,1965,3,5,194,2,4.29,124805,4.99,2025.94,1215.564,256,406
235,Preludes & Nocturnes,1989,3,2,195,2,4.3,122540,5.56,2251.8,1351.08,257,405
236,Seabiscuit,1999,1,1,196,1,4.2,111497,2.5,1007.5,604.5,258,403
237,Shutter Island,2003,1,4,197,2,4.07,113718,10.65,4270.65,2562.39,259,401
238,The Complete Sherlock Holmes,1894,1,4,198,2,4.5,109754,7.99,3180.02,1908.012,261,398
239,The Tragedy of Julius Caesar,1599,1,2,199,2,3.65,119933,0.99,392.04,235.224,262,396
240,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",2011,1,2,200,2,3.81,110481,0.99,392.04,235.224,262,396
241,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,-380,1,2,201,2,3.9,110274,0.99,387.09,232.254,265,391
242,The Taming of the Shrew,1593,3,3,153,1,3.81,126318,6.99,2726.1,1635.66,266,390
243,Cress,2014,3,7,202,2,4.46,162069,2.99,1154.14,692.484,268,386
244,Just Kids,2010,1,5,203,1,4.14,106542,1.99,766.15,459.69,269,385
245,,1997,1,4,204,2,3.79,102746,7.99,3060.17,1836.102,270,383
246,Jemima J,2001,1,2,205,1,3.62,101436,1.99,758.19,0.0,271,381
247,Notre-Dame de Paris,1831,3,2,206,2,3.97,119851,7.91,3013.71,1808.226,271,381
248,A Fine Balance,1996,1,6,207,2,4.34,99252,2.99,1136.2,681.72,272,380
249,Calvin and Hobbes,1987,3,4,208,1,4.61,117788,4.99,1886.22,1131.732,273,378
250,Specials,2006,1,2,209,2,3.77,139168,2.99,1124.24,674.544,274,376
251,The Awakening,1899,1,2,210,2,3.63,125474,0.99,371.25,0.0,275,375
252,Hunted,2009,1,5,100,2,3.93,138103,4.99,1871.25,1122.75,275,375
253,For One More Day,2006,1,2,211,1,4.09,102193,3.99,1488.27,0.0,276,373
254,Clear and Present Danger,1989,1,3,88,2,4.08,105317,2.99,1115.27,669.162,276,373
255,Falling Up,1996,1,2,212,1,4.33,111779,0.99,366.3,0.0,278,370
256,Sh*t My Dad Says,2010,3,3,213,3,3.98,102560,7.5,2775.0,1665.0,278,370
257,Trainspotting,1993,1,5,214,6,4.07,59453,2.99,1100.32,660.192,279,368
258,Foundation and Empire,1952,1,2,215,2,4.2,105595,2.99,1094.34,0.0,280,366
259,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1997,1,4,216,3,4.12,97016,11.99,4388.34,2633.004,280,366
260,House Rules,2010,3,1,79,1,4.01,111239,11.19,4084.35,2450.61,281,365
261,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,1812,1,2,217,2,4.31,116324,4.99,1811.37,0.0,282,363
262,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1967,1,2,218,2,4.15,134537,2.99,1085.37,651.222,282,363
263,Doctor Sleep,2013,1,2,23,2,4.1,95276,0.99,357.39,214.434,283,361
264,About a Boy,1998,1,4,38,1,3.79,101999,2.99,1079.39,647.634,283,361
265,On Dublin Street,2012,3,5,219,2,4.24,136761,10.91,3905.78,2343.468,285,358
266,Crazy Love: Overwhelmed by a Relentless God,2008,1,7,220,2,4.15,106351,2.99,1064.44,638.664,286,356
267,"One Fish, Two Fish, Red Fish, Blue Fish",1960,3,6,221,3,4.12,117582,1.99,706.45,423.87,287,355
268,Watchers,1987,1,2,222,3,4.16,109595,2.99,1049.49,0.0,289,351
269,The Story of My Life,1902,3,2,223,2,4.07,107313,0.99,347.49,208.494,289,351
270,This Is Where I Leave You,2009,1,2,224,2,3.88,98645,0.99,346.5,0.0,290,350
271,Abraham Lincoln: Vampire Hunter,2010,1,2,225,1,3.7,106336,0.99,344.52,0.0,291,348
272,ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,1999,3,6,226,2,4.23,118467,2.99,1031.55,618.93,293,345
273,The Tempest,1623,1,2,153,1,3.8,125178,2.99,1025.57,0.0,294,343
274,Burned: A House of Night Novel,2010,1,2,100,2,3.98,120763,2.99,1019.59,0.0,295,341
275,Wizard and Glass,1997,2,6,227,2,4.24,105026,2.99,1019.59,611.754,295,341
276,The Circle,2013,1,4,228,2,3.46,109412,11.39,3872.6,2323.56,296,340
277,The Invention of Hugo Cabret,2007,1,2,229,2,4.23,132159,4.99,1686.62,0.0,297,338
